Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
31-12-2021,16.565,16.7675,15.4,16.2225,16.565,-0.34,-2.07
03-01-2022,16.2225,16.81,15.4525,16.4525,16.2225,0.23,1.42
04-01-2022,16.4525,16.675,15.71,16.12,16.4525,-0.33,-2.02
05-01-2022,16.12,17.38,15.0875,17.2275,16.12,1.11,6.87
06-01-2022,17.2275,18.4175,16.4,17.9775,17.2275,0.75,4.35
07-01-2022,17.9775,18.09,16.86,17.6025,17.9775,-0.38,-2.09
10-01-2022,17.6025,18.39,15.8425,17.6775,17.6025,0.07,0.43
11-01-2022,17.6775,18.2475,16.4375,17.7575,17.6775,0.08,0.45
12-01-2022,17.7575,17.925,16.5475,17.1825,17.7575,-0.57,-3.24
13-01-2022,17.1825,17.525,16.6075,16.705,17.1825,-0.48,-2.78
14-01-2022,16.705,17.1,15.3425,16.555,16.705,-0.15,-0.9
17-01-2022,16.555,17.5475,16.2675,16.765,16.555,0.21,1.27
18-01-2022,16.765,17.875,16.765,17.78,16.765,1.02,6.05
19-01-2022,17.78,18.4475,15.94,17.8175,17.78,0.04,0.21
20-01-2022,17.8175,18.45,17.32,17.79,17.8175,-0.03,-0.15
21-01-2022,17.79,19.605,16.9825,18.8875,17.79,1.1,6.17
24-01-2022,18.8875,23.9,18.8875,22.825,18.8875,3.94,20.85
25-01-2022,22.825,24.1375,21.18,21.3575,22.825,-1.47,-6.43
27-01-2022,21.3575,23.8675,20.4425,21.065,21.3575,-0.29,-1.37
28-01-2022,21.065,21.32,20.2825,20.695,21.065,-0.37,-1.76
31-01-2022,20.695,22.11,20.695,21.9525,20.695,1.26,6.08
01-02-2022,21.9525,22.07,19.745,19.9775,21.9525,-1.98,-9
02-02-2022,19.9775,19.9775,18.5475,18.65,19.9775,-1.33,-6.64
03-02-2022,18.65,19.595,17.4075,19.16,18.65,0.51,2.73
04-02-2022,19.16,19.7775,18.595,18.8975,19.16,-0.26,-1.37
07-02-2022,18.8975,21.0825,18.1825,20.4375,18.8975,1.54,8.15
08-02-2022,20.4375,20.9375,19.555,19.685,20.4375,-0.75,-3.68
09-02-2022,19.685,19.685,17.885,18.555,19.685,-1.13,-5.74
10-02-2022,18.555,18.925,16.8,17.71,18.555,-0.84,-4.55
11-02-2022,17.71,19.5325,16.855,18.68,17.71,0.97,5.48
14-02-2022,18.68,23.535,18.68,22.9775,18.68,4.3,23.01
15-02-2022,22.9775,23.14,20.435,20.6125,22.9775,-2.36,-10.29
16-02-2022,20.6125,21.02,19.3525,20.5925,20.6125,-0.02,-0.1
17-02-2022,20.5925,22.37,19.4625,22.005,20.5925,1.41,6.86
18-02-2022,22.005,23.21,21.635,22.165,22.005,0.16,0.73
21-02-2022,22.165,23.755,20.57,22.9025,22.165,0.74,3.33
22-02-2022,22.9025,27.815,22.9025,26.6625,22.9025,3.76,16.42
23-02-2022,26.6625,26.6625,23.9075,24.5425,26.6625,-2.12,-7.95
24-02-2022,24.5425,33.9725,24.5425,31.9825,24.5425,7.44,30.31
25-02-2022,31.9825,31.9825,26.15,26.74,31.9825,-5.24,-16.39
28-02-2022,26.74,29.785,26.74,28.57,26.74,1.83,6.84
02-03-2022,28.57,30.8425,28.57,29.2325,28.57,0.66,2.32
03-03-2022,29.2325,29.2325,27.2225,28.155,29.2325,-1.08,-3.69
04-03-2022,28.155,29.925,27.2225,27.9575,28.155,-0.2,-0.7
07-03-2022,27.9575,30.2775,27.9575,29.33,27.9575,1.37,4.91
08-03-2022,29.33,30.0575,27.1125,28.5875,29.33,-0.74,-2.53
09-03-2022,28.5875,28.5875,27.305,27.4675,28.5875,-1.12,-3.92
10-03-2022,27.4675,27.4675,22.9625,25.5825,27.4675,-1.89,-6.86
11-03-2022,25.5825,25.8725,24.58,25.345,25.5825,-0.24,-0.93
14-03-2022,25.345,26.2125,25.09,25.6775,25.345,0.33,1.31
15-03-2022,25.6775,27.5425,23.6575,26.73,25.6775,1.05,4.1
16-03-2022,26.73,26.73,24.0125,24.1175,26.73,-2.61,-9.77
17-03-2022,24.1175,24.1175,20.77,22.61,24.1175,-1.51,-6.25
21-03-2022,22.61,24.7125,22.61,24.6225,22.61,2.01,8.9
22-03-2022,24.6225,25.1575,23.76,24.07,24.6225,-0.55,-2.24
23-03-2022,24.07,24.975,20.455,24.7475,24.07,0.68,2.81
24-03-2022,24.7475,25.53,23.8125,23.93,24.7475,-0.82,-3.3
25-03-2022,23.93,24.2725,22.91,23.43,23.93,-0.5,-2.09
28-03-2022,23.43,24.2125,19.59,22.61,23.43,-0.82,-3.5
29-03-2022,22.61,22.61,21.1025,21.3025,22.61,-1.31,-5.78
30-03-2022,21.3025,21.3025,19.73,20.61,21.3025,-0.69,-3.25
31-03-2022,20.61,20.9425,20.2125,20.56,20.61,-0.05,-0.24
01-04-2022,20.56,20.855,18.12,18.435,20.56,-2.13,-10.34
04-04-2022,18.435,18.825,17.5925,17.9075,18.435,-0.53,-2.86
05-04-2022,17.9075,18.63,16.79,18.4875,17.9075,0.58,3.24
06-04-2022,18.4875,19.2825,16.81,19.0225,18.4875,0.54,2.89
07-04-2022,19.0225,19.49,17.7175,18.9975,19.0225,-0.03,-0.13
08-04-2022,18.9975,20.0875,17.53,17.6875,18.9975,-1.31,-6.9
11-04-2022,17.6875,19.145,16.6425,18.27,17.6875,0.58,3.29
12-04-2022,18.27,18.6725,15.085,18.1575,18.27,-0.11,-0.62
13-04-2022,18.1575,18.4025,16.1925,17.785,18.1575,-0.37,-2.05
18-04-2022,17.785,20.4825,17.785,19.335,17.785,1.55,8.72
19-04-2022,19.335,20.8075,14.6275,19.775,19.335,0.44,2.28
20-04-2022,19.775,20.265,17.835,18.6725,19.775,-1.1,-5.58
21-04-2022,18.6725,18.6725,13.35,17.8525,18.6725,-0.82,-4.39
22-04-2022,17.8525,18.76,17.8125,18.3525,17.8525,0.5,2.8
25-04-2022,18.3525,21.755,18.3525,21.2575,18.3525,2.91,15.83
26-04-2022,21.2575,21.2575,19.005,19.1875,21.2575,-2.07,-9.74
27-04-2022,19.1875,21.365,19.1875,20.605,19.1875,1.42,7.39
28-04-2022,20.605,20.605,19.0225,19.3775,20.605,-1.23,-5.96
29-04-2022,19.3775,19.6475,18.2075,19.415,19.3775,0.04,0.19
02-05-2022,19.415,21.0625,19.415,20.2825,19.415,0.87,4.47
04-05-2022,20.2825,22.3875,18.4275,21.8775,20.2825,1.6,7.86
05-05-2022,21.8775,21.8775,19.615,20.2925,21.8775,-1.59,-7.24
06-05-2022,20.2925,21.81,19.3325,21.25,20.2925,0.96,4.72
09-05-2022,21.25,22.52,18.96,22.0325,21.25,0.78,3.68
10-05-2022,22.0325,22.515,21.2175,22.3025,22.0325,0.27,1.23
11-05-2022,22.3025,24.1875,20.4825,22.8025,22.3025,0.5,2.24
12-05-2022,22.8025,25.315,21.15,24.265,22.8025,1.46,6.41
13-05-2022,24.265,24.265,20.9675,23.485,24.265,-0.78,-3.21
16-05-2022,23.485,24.7125,21.275,24.5275,23.485,1.04,4.44
17-05-2022,24.5275,24.84,17.095,22.7425,24.5275,-1.79,-7.28
18-05-2022,22.7425,23.06,21.34,22.295,22.7425,-0.45,-1.97
19-05-2022,22.295,25.1475,22.295,24.5575,22.295,2.26,10.15
20-05-2022,24.5575,24.5575,22.4425,23.1,24.5575,-1.46,-5.94
23-05-2022,23.1,23.975,20.5,23.3975,23.1,0.3,1.29
24-05-2022,23.3975,25.99,23.155,25.635,23.3975,2.24,9.56
25-05-2022,25.635,25.635,24.3625,25.2825,25.635,-0.35,-1.38
26-05-2022,25.2825,25.2825,22.535,22.7175,25.2825,-2.56,-10.15
27-05-2022,22.7175,22.7175,21.2,21.48,22.7175,-1.24,-5.45
30-05-2022,21.48,21.48,19.72,19.98,21.48,-1.5,-6.98
31-05-2022,19.98,20.75,19.68,20.4775,19.98,0.5,2.49
01-06-2022,20.4775,21.3375,18.23,20.845,20.4775,0.37,1.79
02-06-2022,20.845,20.9975,18.3825,20.32,20.845,-0.52,-2.52
03-06-2022,20.32,20.32,18.735,19.975,20.32,-0.34,-1.7
06-06-2022,19.975,20.6825,18.65,20.2025,19.975,0.23,1.14
07-06-2022,20.2025,21.07,19.4325,20.425,20.2025,0.22,1.1
08-06-2022,20.425,20.6875,19.3875,19.8375,20.425,-0.59,-2.88
09-06-2022,19.8375,19.8375,18.155,19.14,19.8375,-0.7,-3.52
10-06-2022,19.14,19.755,18.255,19.575,19.14,0.43,2.27
13-06-2022,19.575,22.8025,19.575,22.365,19.575,2.79,14.25
